Time,Country Name,Population (Total)
2010,Afghanistan,28397812
2010,Albania,2856673
2010,Algeria,37062820
2010,American Samoa,55636
2010,Andorra,77907
2010,Angola,19549124
2010,Antigua and Barbuda,87233
2010,Argentina,40374224
2010,Armenia,2963496
2010,Aruba,101597
2010,Australia,22031800
2010,Austria,8389771
2010,Azerbaijan,9054332
2010,"Bahamas, The",360498
2010,Bahrain,1251513
2010,Bangladesh,151125475
2010,Barbados,280396
2010,Belarus,9490000
2010,Belgium,10920272
2010,Belize,308595
2010,Benin,9509798
2010,Bermuda,65124
2010,Bhutan,716939
2010,Bolivia,10156601
2010,Bosnia and Herzegovina,3845929
2010,Botswana,1969341
2010,Brazil,195210154
2010,Brunei Darussalam,400569
2010,Bulgaria,7395599
2010,Burkina Faso,15540284
2010,Burundi,9232753
2010,Cabo Verde,487601
2010,Cambodia,14364931
2010,Cameroon,20624343
2010,Canada,34005274
2010,Cayman Islands,55509
2010,Central African Republic,4349921
2010,Chad,11720781
2010,Channel Islands,159518
2010,Chile,17150760
2010,China,1337705000
2010,Colombia,46444798
2010,Comoros,683081
2010,"Congo, Dem. Rep.",62191161
2010,"Congo, Rep.",4111715
2010,Costa Rica,4669685
2010,Cote d'Ivoire,18976588
2010,Croatia,4417781
2010,Cuba,11281768
2010,Curacao,149311
2010,Cyprus,1103685
2010,Czech Republic,10474410
2010,Denmark,5547683
2010,Djibouti,834036
2010,Dominica,71167
2010,Dominican Republic,10016797
2010,Ecuador,15001072
2010,"Egypt, Arab Rep.",78075705
2010,El Salvador,6218195
2010,Equatorial Guinea,696167
2010,Eritrea,5741159
2010,Estonia,1331475
2010,Ethiopia,87095281
2010,Faeroe Islands,49581
2010,Fiji,860559
2010,Finland,5363352
2010,France,65023142
2010,French Polynesia,268065
2010,Gabon,1556222
2010,"Gambia, The",1680640
2010,Georgia,4452800
2010,Germany,81776930
2010,Ghana,24262901
2010,Greece,11153454
2010,Greenland,56905
2010,Grenada,104677
2010,Guam,159440
2010,Guatemala,14341576
2010,Guinea,10876033
2010,Guinea-Bissau,1586624
2010,Guyana,786126
2010,Haiti,9896400
2010,Honduras,7621204
2010,"Hong Kong SAR, China",7024200
2010,Hungary,10000023
2010,Iceland,318041
2010,India,1205624648
2010,Indonesia,240676485
2010,"Iran, Islamic Rep.",74462314
2010,Iraq,30962380
2010,Ireland,4560155
2010,Isle of Man,83992
2010,Israel,7623600
2010,Italy,59277417
2010,Jamaica,2690824
2010,Japan,127450459
2010,Jordan,6046000
2010,Kazakhstan,16321581
2010,Kenya,40909194
2010,Kiribati,97743
2010,"Korea, Dem. Rep.",24500520
2010,"Korea, Rep.",49410366
2010,Kosovo,1775680
2010,Kuwait,2991580
2010,Kyrgyz Republic,5447900
2010,Lao PDR,6395713
