country,fh_category,fh_score,kmeans,LJI,fragility,gdp
Afghanistan,1,6.0,1,0.0262,22.0,252.407892476849
Albania,2,3.0,4,0.5611,3.0,2798.9496326700664
Algeria,1,5.5,1,0.3877,13.0,3038.748713418462
Andorra,3,1.0,4,0.7631,NA,31268.966744979545
Angola,1,5.5,1,0.2456,16.0,1706.5436158078687
Antigua & Barbuda,3,2.5,2,0.9475,NA,12135.541029277934
Argentina,3,2.0,4,0.5226,2.0,5767.657011976193
Armenia,2,5.0,4,0.3689,7.0,1625.3969042944348
Australia,3,1.0,0,0.977,2.0,34011.73863566928
Austria,3,1.0,4,0.9536,0.0,37067.323828674336
Azerbaijan,1,5.5,1,0.1139,11.0,1578.3673303066716
Bahamas,3,1.0,2,0.9401,NA,23416.903685336445
Bahrain,1,6.0,1,0.2162,5.0,18156.3774747039
Bangladesh,2,3.5,0,0.3513,12.0,421.12331137327493
Barbados,3,1.0,2,0.9328,NA,14224.982454088198
Belarus,1,6.5,4,0.1449,4.0,3126.367777794623
Belgium,3,1.0,4,0.9395,2.0,36011.469401292525
Belize,3,1.5,2,0.8759,NA,4097.528684907325
Benin,3,2.0,3,0.4317,10.0,532.6109982543409
Bhutan,2,4.5,0,0.415,10.0,1258.990994718044
Bolivia,2,3.0,1,0.5034,12.0,1020.7903052771514
Bosnia-Herzegovina,2,3.5,4,0.38799999999999996,4.0,2821.7877499398933
Botswana,3,2.5,2,0.9112,3.0,5294.379477694804
Brazil,3,2.0,4,0.5261,6.0,4739.3054367480545
Brunei,1,5.5,2,0.7804,NA,25913.57837458666
Bulgaria,3,2.0,4,0.6518,3.0,3733.263160996979
Burkina Faso,2,4.0,3,0.2166,17.0,406.99880432834124
Burundi,1,6.5,3,0.4359,18.0,859211.0
Cambodia,2,5.0,1,0.307,12.0,143.78352946676992
Cameroon,1,5.5,3,0.1412,17.0,471.16250293596465
Canada,1,6.0,0,0.9733,0.0,914.5531200847685
Cape Verde,3,1.0,3,0.9011,5.0,36029.3226661828
Central African Republic,3,1.0,3,0.2197,21.0,2030.658981662782
Chad,2,5.0,3,0.0315,21.0,340.9078669471961
Chile,1,6.5,4,0.9031,2.0,663.7096973567711
China,3,1.0,1,0.2543,8.0,7614.522057975195
Colombia,1,6.5,4,0.4698,11.0,1731.1252345789967
Comoros,2,3.5,3,0.6868,12.0,3392.924413425233
Congo (Brazzaville),2,3.5,3,0.1195,15.0,644.2731324657982
Costa Rica,1,5.5,4,0.9152,1.0,1718.1008154528388
Cote d'Ivoire,1,6.0,3,0.2736,18.0,221.44968892378515
Croatia,3,1.0,4,0.8208,2.0,4621.364127327985
Cuba,1,6.0,1,0.1894,6.0,940.7521438263409
Cyprus,3,1.5,4,0.9237,3.0,10090.366688631691
Czech Republic,1,6.5,4,0.7020000000000001,1.0,3776.470548644811
Congo (Kinshasa),3,1.0,3,0.1942,23.0,22430.6064204376
Denmark,3,1.0,4,0.9659,0.0,12737.605813190734
Djibouti,3,1.0,3,0.243,13.0,47546.59459413719
Dominica,1,5.5,2,0.9651,NA,912.4992044999142
Dominican Republic,3,1.0,3,0.4844,6.0,5126.249862178244
East Timor,3,2.0,4,0.7342,12.0,3635.706812222819
Ecuador,2,3.5,1,0.4155,10.0,487.4405960388203
Egypt,2,3.0,1,0.2636,12.0,3012.7524373543374
El Salvador,1,5.5,4,0.4514,6.0,1249.4932601353134
Equatorial Guinea,3,2.5,3,0.1145,12.0,2814.935040340629
Eritrea,1,7.0,1,0.1432,12.0,11456.758309734192
Estonia,1,7.0,4,0.8666,0.0,226.28985677138323
Ethiopia,3,1.0,1,0.3179,20.0,10264.11112552055
Fiji,1,6.0,2,0.1352,6.0,159.83143654775935
Finland,2,5.0,4,0.9704,0.0,3655.6638363593106
France,3,1.0,4,0.6326,1.0,37318.79731791569
Gabon,3,1.0,3,0.2635,11.0,33818.97268713244
"Gambia, The",1,5.5,2,0.1715,14.0,6281.954683555293
Georgia,1,5.5,4,0.3826,8.0,434.4954445081285
Germany,2,3.5,4,0.9695,0.0,1469.9746235616303
Ghana,3,1.0,2,0.4908,12.0,33542.781383459
Greece,3,1.5,4,0.7244,1.0,501.86429470911224
Grenada,3,2.0,2,0.8973,NA,21642.258471889778
Guatemala,3,1.5,4,0.4919,10.0,6803.545291776011
Guinea,2,3.5,3,0.2375,19.0,2146.179053106227
Guinea-Bissau,2,5.0,1,0.4086,17.0,306.7011790880569
Guyana,2,4.0,2,0.4911,12.0,402.98804692912006
Haiti,3,2.5,3,0.2179,18.0,1084.179400952067
Honduras,2,4.5,4,0.3908,9.0,448.58483005684604
Hungary,2,4.0,1,0.8808,0.0,1401.9787672726795
Iceland,3,1.5,4,0.9627,NA,10936.948614181474
India,3,1.0,0,0.7002,13.0,54885.29035109823
Indonesia,3,2.5,1,0.4774,9.0,740.1142605884022
Iran,3,2.5,1,0.1607,11.0,1273.4651756257492
Iraq,1,6.0,1,0.1261,19.0,2737.112117587531
Ireland,1,5.5,0,0.9532,0.0,1824.699866375676
Israel,3,1.0,4,0.9451,8.0,48697.57923884839
Italy,3,1.5,4,0.7054,0.0,19330.02435499216
Jamaica,3,1.0,2,0.7819,3.0,30814.05751354654
Japan,3,2.5,4,0.9858,0.0,4189.6558826436585
Jordan,3,1.5,4,0.3106,6.0,35781.16626513715
Kazakhstan,1,5.5,4,0.1498,9.0,2325.4254103185776
Kenya,1,5.5,0,0.5161,12.0,3771.278957338449
Kiribati,2,3.5,2,0.9356,NA,523.6137891876308
Kosovo,3,1.0,1,0.0,6.0,1173.3141497313961
Kuwait,2,4.5,4,0.3334,3.0,2194.372650747372
Kyrgyzstan,2,4.5,4,0.514,13.0,35185.93067214652
Laos,2,5.0,1,0.2751,13.0,476.4800976123073
